sample_index,r,W_gamma_0.01,omega_gamma_0.01,delta_gamma_0.01,W_gamma_0.1,omega_gamma_0.1,delta_gamma_0.1,W_gamma_1,omega_gamma_1,delta_gamma_1,W_gamma_5,omega_gamma_5,delta_gamma_5
1,0.06381725610417532,590.9465718849311,4.995349368965454e-39,-1.0,1.8930183410148274,0.0007480980858067841,-0.9992519019141932,1.0658975946834166,0.5788998018077434,-0.42110019819225664,1.0128452517127564,0.9016493318927492,-0.0983506681072508
2,0.09417734788764953,12304.677932404129,1.0401306661091313e-37,-1.0,2.564525519541636,0.0010134696482355526,-0.9989865303517644,1.098754590444691,0.5967447696818373,-0.4032552303181627,1.0190139760241868,0.9071408185187921,-0.09285918148120786
3,0.12811363267554587,366356.8976904532,3.0968632102505865e-36,-1.0,3.6007290064588147,0.001422964806456518,-0.9985770351935435,1.1366821595937395,0.6173436174257005,-0.38265638257429946,1.0259538103007242,0.9133187582665523,-0.08668124173344771
4,0.2272387217847769,7393537749.088367,6.249855043836768e-32,-1.0,9.70253525494041,0.0038343252648057173,-0.9961656747351942,1.2551294589239697,0.6816735478514263,-0.3183264521485737,1.046496317847082,0.931605992346244,-0.06839400765375603
5,0.37079802423258124,1.269268734913079e+16,1.072929614224116e-25,-1.0,40.77137501160323,0.016112357149978624,-0.9838876428500214,1.4488904030804168,0.7869070831645102,-0.2130929168354898,1.076978682796999,0.9587418296768988,-0.041258170323101195
6,0.4388784397520523,1.1488106712602735e+19,9.711048231375857e-23,-1.0,80.54245184382908,0.03182940848753334,-0.9681705915124666,1.550966740026538,0.8423457777652996,-0.15765422223470038,1.091743203404544,0.9718854171291754,-0.028114582870824578
7,0.44341419882733113,1.8081479978652963e+19,1.5284513676629514e-22,-1.0,84.27978081643454,0.033306355958067364,-0.9666936440419326,1.5580175297467476,0.8461751332230627,-0.1538248667769373,1.0927340295800212,0.9727674647644189,-0.027232535235581112
8,0.45038593789556713,3.6308871874454356e+19,3.0692368622661277e-22,-1.0,90.36521277983054,0.035711245495843015,-0.964288754504157,1.5689175734081844,0.852095057563614,-0.14790494243638597,1.0942587436288844,0.9741247870218519,-0.0258752129781481
9,0.5545847870158348,1.2170579983944163e+24,1.0287951895349566e-17,-1.0,256.17168651886374,0.10123597018078571,-0.8987640298192143,1.7412178583956675,0.9456730910709482,-0.05432690892905179,1.1173021193324169,0.994638329710144,-0.005361670289856013
10,0.6316643991220648,2.709170234206526e+27,2.290097356296831e-14,-0.9999999999999771,553.7116097665116,0.21882017008522783,-0.7811798299147722,1.8807382748088748,1.0214480452622359,0.02144804526223587,1.1346598107833352,1.0100903949426714,0.010090394942671388
11,0.6438651200806645,9.177129794810992e+27,7.757548941048714e-14,-0.9999999999999224,625.5624723672832,0.2472147670157509,-0.752785232984249,1.9038251898120129,1.0339867831169154,0.03398678311691539,1.1374319251340614,1.0125581707929663,0.012558170792966283
12,0.6973680290593639,1.9333420086655843e+30,1.634279517381239e-11,-0.9999999999836572,1068.1466155693047,0.4221186985647556,-0.5778813014352444,2.00845953765296,1.0908147593967545,0.09081475939675454,1.1496684607519618,1.0234513098444693,0.023451309844469304
13,0.761139701990353,1.1373057979969328e+33,9.613796019195757e-09,-0.999999990386204,2021.099642808615,0.798714276164563,-0.20128572383543697,2.1407146074145156,1.162643830083206,0.16264383008320604,1.1644256258251555,1.036588349294845,0.03658834929484489
14,0.7739560485559633,4.097171209947742e+33,3.463392900795296e-08,-0.9999999653660709,2297.462393287982,0.9079295120354833,-0.09207048796451667,2.1683273167795893,1.1776405727895856,0.17764057278958556,1.1674141909115079,1.0392488126863362,0.039248812686336176
15,0.7860643052769538,1.3751150026305699e+34,1.162402861350909e-07,-0.9999998837597138,2593.187395700857,1.0247964770495035,0.024796477049503496,2.1947415731699005,1.1919864235218895,0.19198642352188955,1.1702446869101224,1.0417685607147347,0.04176856071473467
16,0.82276161327083,5.396135624476427e+35,4.561424664940624e-06,-0.999995438575335,3742.9005303626036,1.4791492831645674,0.4791492831645674,2.276778745983093,1.2365416446982072,0.23654164469820715,1.1788652492967162,1.0494427086689933,0.04944270866899325
17,0.8276311719925821,8.781427189258169e+35,7.4230563058446e-06,-0.9999925769436941,3929.6738827272748,1.5529598661665374,0.5529598661665374,2.287892691827348,1.2425777414852088,0.24257774148520883,1.1800139192688077,1.0504652711099487,0.050465271109948695
18,0.8585979199113825,1.9428258760711967e+37,0.0001642296355673213,-0.9998357703644327,5356.034772886465,2.1166405387086282,1.1166405387086282,2.3598496748501594,1.2816583092793044,0.28165830927930435,1.1873448360166334,1.0569913580681103,0.05699135806811029
19,0.9267649888486018,1.7737486086821096e+40,0.14993731099617646,-0.8500626890038235,10589.835325621445,4.184975583416396,3.1849755834163958,2.5263232600712175,1.3720718030064558,0.3720718030064558,1.2036432485273445,1.07150043803501,0.07150043803500994
20,0.9756223516367559,2.34822860292142e+42,19.849886314382832,18.849886314382832,17261.321333436746,6.821466632551074,5.821466632551074,2.6528176827693124,1.4407722078060947,0.4407722078060947,1.2154622660607661,1.0820218965150865,0.08202189651508651
