distribution,sample_index,global_gamma,r,W,omega,delta
uniform,1,0.2630012047381211,0.030817834567939406,1.1243190251946675,0.13700731102577998,-0.86299268897422
uniform,2,0.2630012047381211,0.05830274168906602,1.248174910789684,0.15210014629746968,-0.8478998537025303
uniform,3,0.2630012047381211,0.2145846728195292,2.2612269541305117,0.2755486811679592,-0.7244513188320407
uniform,4,0.2630012047381211,0.23393948586534075,2.4339115972492196,0.296591693052459,-0.703408306947541
uniform,5,0.2630012047381211,0.28138389202199654,2.915075818358834,0.35522542121927364,-0.6447745787807264
uniform,6,0.2630012047381211,0.2935937577666836,3.0535992033728676,0.3721056091994384,-0.6278943908005616
uniform,7,0.2630012047381211,0.3039500980626122,3.1762412503736326,0.3870505284810123,-0.6129494715189877
uniform,8,0.2630012047381211,0.4063868614400705,4.688862959155874,0.5713756428617756,-0.42862435713822444
uniform,9,0.2630012047381211,0.40852864372463615,4.727203186966028,0.5760477078172498,-0.4239522921827502
uniform,10,0.2630012047381211,0.43671738923236236,5.262018961607914,0.6412193090584256,-0.3587806909415744
uniform,11,0.2630012047381211,0.5535794006579958,8.205913061531133,0.9999564695412384,-4.353045876159811e-05
uniform,12,0.2630012047381211,0.5570321523412783,8.31435278623747,1.013170721686281,0.013170721686281084
uniform,13,0.2630012047381211,0.5592071607454135,8.383397222076349,1.0215843412049397,0.021584341204939683
uniform,14,0.2630012047381211,0.5652361064811888,8.577794865713955,1.045273256741991,0.0452732567419909
uniform,15,0.2630012047381211,0.6347183200005908,11.171507766579246,1.3613380231982033,0.3613380231982033
uniform,16,0.2630012047381211,0.6619165147268951,12.388657086806303,1.5096574518873087,0.5096574518873087
uniform,17,0.2630012047381211,0.6643135403273875,12.502084956742944,1.5234795496257245,0.5234795496257245
uniform,18,0.2630012047381211,0.7649988574160256,18.333455836978413,2.2340789666877696,1.2340789666877696
uniform,19,0.2630012047381211,0.7838982091064135,19.69939455848389,2.4005295799619284,1.4005295799619284
uniform,20,0.2630012047381211,0.8534030732681661,25.65821367647759,3.1266595892837694,2.1266595892837694
edge_concentrated,1,0.2630012047381211,0.020083563799735357,1.0793543201679008,0.0701402217641113,-0.9298597782358887
edge_concentrated,2,0.2630012047381211,0.03778788342061678,1.1545140354856798,0.07502436314531821,-0.9249756368546818
edge_concentrated,3,0.2630012047381211,0.04472227668549918,1.1853592586237904,0.07702879371167203,-0.922971206288328
edge_concentrated,4,0.2630012047381211,0.052187671627226775,1.2194882487981364,0.07924661495413615,-0.9207533850458638
edge_concentrated,5,0.2630012047381211,0.06443599879312686,1.277624731352002,0.08302452708430598,-0.916975472915694
edge_concentrated,6,0.2630012047381211,0.1575023486791978,1.8200527836495002,0.11827340057128398,-0.881726599428716
edge_concentrated,7,0.2630012047381211,0.20678687666071063,2.195167353753196,0.1426496583416978,-0.8573503416583022
edge_concentrated,8,0.2630012047381211,0.22918265923250927,2.3902858553226904,0.15532914154257713,-0.8446708584574228
edge_concentrated,9,0.2630012047381211,0.24201016529504638,2.5097584850517682,0.16309289120972584,-0.8369071087902742
edge_concentrated,10,0.2630012047381211,0.40486890838780165,4.661878392701621,0.30294517582562297,-0.697054824174377
edge_concentrated,11,0.2630012047381211,0.6848372880901712,13.516783468949827,0.8783679023049038,-0.1216320976950962
edge_concentrated,12,0.2630012047381211,0.7041826310498192,14.54850491529335,0.9454127731996322,-0.05458722680036776
edge_concentrated,13,0.2630012047381211,0.846156160261187,24.96086168584279,1.622044162287672,0.622044162287672
edge_concentrated,14,0.2630012047381211,0.8476478312016534,25.102835106765937,1.6312700921256238,0.6312700921256238
edge_concentrated,15,0.2630012047381211,0.893331412720932,29.86483876604386,1.9407217582395888,0.9407217582395888
edge_concentrated,16,0.2630012047381211,0.8938044878878788,29.918606686690385,1.9442157859258409,0.9442157859258409
edge_concentrated,17,0.2630012047381211,0.9377361344884627,35.35784531556677,2.297676550874615,1.2976765508746149
edge_concentrated,18,0.2630012047381211,0.9426914112180796,36.03034753214753,2.341378098852385,1.3413780988523851
edge_concentrated,19,0.2630012047381211,0.9661962450177355,39.3987130707193,2.5602662817627597,1.5602662817627597
edge_concentrated,20,0.2630012047381211,0.9673877641136277,39.577612706228834,2.5718918062765312,1.5718918062765312
center_concentrated,1,0.2630012047381211,0.3404383070787592,3.6489384976849304,0.5066936051588602,-0.4933063948411398
center_concentrated,2,0.2630012047381211,0.3416432036038883,3.665693857610461,0.509020263646469,-0.490979736353531
center_concentrated,3,0.2630012047381211,0.36932691003888274,4.072586887299794,0.5655216533679193,-0.43447834663208074
center_concentrated,4,0.2630012047381211,0.38393040277626217,4.3051187874167,0.5978111608121877,-0.40218883918781234
center_concentrated,5,0.2630012047381211,0.3902854879617,4.410413466786232,0.6124324378569073,-0.38756756214309274
center_concentrated,6,0.2630012047381211,0.42755945709404913,5.081944230292211,0.7056815687347789,-0.29431843126522106
center_concentrated,7,0.2630012047381211,0.4381729406655311,5.291221765970117,0.7347419623529988,-0.2652580376470012
center_concentrated,8,0.2630012047381211,0.4503203850225159,5.541343423820295,0.7694739932230243,-0.23052600677697566
center_concentrated,9,0.2630012047381211,0.4759584732331156,6.108735190116919,0.8482623257160742,-0.15173767428392582
center_concentrated,10,0.2630012047381211,0.48017369802796506,6.2074311226592185,0.8619672971498491,-0.1380327028501509
center_concentrated,11,0.2630012047381211,0.4844094851282136,6.308214816350011,0.8759621762440879,-0.1240378237559121
center_concentrated,12,0.2630012047381211,0.4979313509829237,6.641025711673155,0.9221764800736595,-0.07782351992634051
center_concentrated,13,0.2630012047381211,0.5016705455419607,6.736118244429593,0.9353810814328263,-0.06461891856717372
center_concentrated,14,0.2630012047381211,0.5339888665488114,7.61687833034455,1.0576839110078977,0.057683911007897715
center_concentrated,15,0.2630012047381211,0.5579030036943934,8.341928956953879,1.158364839489552,0.15836483948955205
center_concentrated,16,0.2630012047381211,0.573137368758609,8.839404910252957,1.2274446237656846,0.22744462376568464
center_concentrated,17,0.2630012047381211,0.6034974811493837,9.921029711264378,1.3776396380695495,0.3776396380695495
center_concentrated,18,0.2630012047381211,0.6281492972526449,10.895931134795141,1.5130149855238053,0.5130149855238053
center_concentrated,19,0.2630012047381211,0.691186904894084,13.847089308120102,1.9228144313584707,0.9228144313584707
center_concentrated,20,0.2630012047381211,0.738056542326214,16.5483398418483,2.297911565015399,1.297911565015399
